,link,brand,price,sales,stars,batteries_included,mini,flight_time,is_fpv,resolution,wifi_freq,wifi,gps,remote_control,portable,helix_protector,autoreturn,full_turn,altitude_retention,dual_camara,distance,follow_func
0,https://articulo.mercadolibre.com.mx/MLM-2306171022-drones-con-camara-8k-quadcopter360-acrobacias2-baterias-_JM#position=33&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,bnvg,895,5,4.0,True,True,True,True,3,5.8,True,True,True,False,False,False,False,False,False,200,False
1,https://www.mercadolibre.com.mx/control-remoto-drone-con-par-camara-4k-quadcopter-2bateria-color-negro1/p/MLM24084289?pdp_filters=category:MLM149102#searchVariation=MLM24084289&position=12&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,yabely,732,5000,3.6,True,True,True,True,4,2.4,True,False,True,False,False,False,False,False,False,200,False
2,https://articulo.mercadolibre.com.mx/MLM-1941119821-drone-con-control-remoto-par-de-camara-4k-2-baterias-_JM#position=24&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,nube,397,500,3.9,True,True,True,True,4,2.4,True,False,True,False,False,False,False,False,False,200,False
4,https://www.mercadolibre.com.mx/mini-drone-dji-mavic-mini-2-drdji018-fly-more-combo-con-camara-4k-light-gray-3-baterias/p/MLM16330820?pdp_filters=category:MLM149102#searchVariation=MLM16330820&position=13&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,dji,11467,1000,4.6,True,True,True,True,4,2.4,True,True,True,True,False,True,True,True,False,200,False
6,https://www.mercadolibre.com.mx/mini-drone-lian-eighty-lf007-max-con-camara-8k-gris-6ghz-3-baterias/p/MLM27286666?pdp_filters=category:MLM149102#searchVariation=MLM27286666&position=2&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,lian_ighty,2500,500,4.0,True,True,True,True,8,6.0,True,True,True,False,False,True,False,False,False,600,True
8,https://articulo.mercadolibre.com.mx/MLM-1950073127-mini-drone-inteligente-evita-obsaculos-a17s-_JM#position=47&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,lamodi04,999,2,4.0,True,True,True,True,4,2.4,True,False,True,False,False,False,False,False,False,200,False
9,https://www.mercadolibre.com.mx/mini-drone-axnen-l900-pro-se-con-camara-4k-negro-5ghz-2-baterias/p/MLM27292245?pdp_filters=category:MLM149102#searchVariation=MLM27292245&position=1&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,axnen,1771,100,4.0,True,True,True,True,4,5.0,True,True,True,True,False,True,False,True,False,200,False
10,https://articulo.mercadolibre.com.mx/MLM-2345049268-ylrc-s65-rc-cuadricoptero-drone-con-camara-dual-4k-_JM#position=50&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,ylr_,517,5,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,True,200,False
11,https://www.mercadolibre.com.mx/dji-drone-mini-2-se-dron-mini-con-camara-ligero-y-plegable-color-gris/p/MLM23449398?pdp_filters=category:MLM149102#searchVariation=MLM23449398&position=17&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,dji,8299,100,5.0,True,True,True,False,7,2.4,False,True,True,True,False,False,False,False,False,18000,False
13,https://articulo.mercadolibre.com.mx/MLM-1857127033-sin-escobillas-mini-dron-gps-profesionalcamara8k3-baterias-_JM#position=32&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,lian_ighty,2500,1000,4.2,True,True,True,True,8,6.0,True,True,True,False,False,True,False,False,False,200,True
