,Price,Sales,Stars,Marca,Modelo,Unidades por pack,Cantidad de baterías incluidas,Es mini,Tiempo máximo de vuelo,Es FPV,Resolución máxima de la cámara,Con cámara,Frecuencia de funcionamiento del Wi-Fi,Con Wi-Fi,Con GPS,Con control remoto,Page,Línea,Versión,Color,Tipos de drone,Es plegable,Fabricante,Modelo alfanumérico,Ambientes de uso,Con protector de hélices,Con función de auto retorno,Con giro 360,Con retención de altitud,Temperatura mínima de funcionamiento - Temperatura máxima de funcionamiento,Accesorios incluidos,Con cámara dual,Zoom de la cámara,Velocidad máxima,Resistencia al viento,Máxima distancia de vuelo,Máxima altura de vuelo,Cantidad de motores,Duración de la batería,Con función de seguimiento,Es controlado por smartphone,Con modo sin cabeza,Edad mínima recomendada,Duración del producto,Plazo de repuestos o servicio técnico,Tamaño de la pantalla del control remoto,Con control remoto táctil,Es kit,Usos recomendados,Homologación Anatel Nº
0,895,5,0.0,BNVG,Drones,1.0,2.0,Sí,18 m,Sí,Full HD,Sí,5.8 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-2306171022-drones-con-camara-8k-quadcopter360-acrobacias2-baterias-_JM#position=33&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,732,5mil,3.6,Yabely,ML1-MX-0300,1.0,2.0,Sí,0.25 h,Sí,4K,Sí,,Sí,No,Sí,https://www.mercadolibre.com.mx/control-remoto-drone-con-par-camara-4k-quadcopter-2bateria-color-negro1/p/MLM24084289?pdp_filters=category:MLM149102#searchVariation=MLM24084289&position=12&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Minidrones,4K Dual camera,Negro (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,397,500,3.9,Nube,MINIDRONE1,1.0,2.0,Sí,25 h,Sí,4K,Sí,2.4 GHz,Sí,,Sí,https://articulo.mercadolibre.com.mx/MLM-1941119821-drone-con-control-remoto-par-de-camara-4k-2-baterias-_JM#position=24&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,001,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,409,500,3.7,Genérica,3,1.0,3.0,Sí,25 m,Sí,4K,Sí,2.4 GHz,No,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-1485831629-drones-e58-con-camara-4k-plegable-baterias-de-3-piezas-_JM#position=38&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,3,3.0,,Terrestre,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"11,467",1000,4.6,DJI,Mini 2,1.0,3.0,Sí,31 m,Sí,4K,Sí,,Sí,Sí,Sí,https://www.mercadolibre.com.mx/mini-drone-dji-mavic-mini-2-drdji018-fly-more-combo-con-camara-4k-light-gray-3-baterias/p/MLM16330820?pdp_filters=category:MLM149102#searchVariation=MLM16330820&position=13&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Mavic,Fly More Combo,Light gray,Aéreo,Sí,DJI,DRDJI018,Exterior,No,Sí,Sí,Sí,0 °C - 40 °C,"3 pares de hélices de repuesto, 1 cable USB-C, 1 protector de cardán, 1 cable USB-C RC, 1 cable lightning RC, 1 cable micro-USB RC, 1 par de palancas de repuesto para control remoto, 18 tornillos de repuesto, 1 destornillador, 1 soporte de hélice, 1 hub de carga, 1 cargador USB, 1 bolsa de hombro",No,4 x,16 m/s,10.5 m/s,10 km,4000 m,4.0,,,,,,,,,,,,
5,399,5,0.0,Genérica,Generic,1.0,1.0,Sí,30 h,Sí,4K,Sí,2.4 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-2571458418-caja-de-sorpresa-misteriosa-electronico-random-_JM#position=34&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,generic,Generic,,"accesorios informáticos,Auriculares Bluetooth,auriculares inalámbricos,aviones teledirigidos,cargador inalámbrico,ratón,Regalo de Halloween,smartwatch,Teclado,Todos los Santos (fies,Todos los Santos (fiesta cristiana),vehículo aéreo no tripulado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"2,500",500,0.0,Lian Eighty,LF007 MAX,1.0,3.0,Sí,,Sí,8K,Sí,6 GHz,Sí,Sí,Sí,https://www.mercadolibre.com.mx/mini-drone-lian-eighty-lf007-max-con-camara-8k-gris-6ghz-3-baterias/p/MLM27286666?pdp_filters=category:MLM149102#searchVariation=MLM27286666&position=2&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,,,Gris,Aéreo,,,,,,Sí,,,,"8 hélices de repuesto, 3 cables de carga USB, 1 destornillador, 1 manual, 1 funda de transporte",,,,,,,,50 m,Sí,,,,,,,,,,
7,715,5mil,3.9,HB,KY603,1.0,4.0,Sí,120 h,Sí,HD,Sí,2.4 GHz,Sí,No,Sí,https://articulo.mercadolibre.com.mx/MLM-1413996588-mini-dron-con-camara-hd-4-baterias-y-caja-de-presentacion-_JM#position=28&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,001,360,,"Drone,4K,MIini,Profesional,Con cámara,Con pilas",,,,Exterior,Sí,,Sí,Sí,,"1 manual,1 charger,1 remote control,4 propeller protectors",,,,,,,,20 m,Sí,Sí,Sí,,,,,,,,
8,999,2,0.0,LAMODI04,A17S DRONE,1.0,1.0,Sí,12 m,Sí,4K,Sí,2.4 GHz,Sí,No,Sí,https://articulo.mercadolibre.com.mx/MLM-1950073127-mini-drone-inteligente-evita-obsaculos-a17s-_JM#position=47&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Drone,4k,,A17S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1,771",100,0.0,Axnen,L900 PRO SE,1.0,2.0,Sí,20 m,Sí,4K,Sí,5 GHz,Sí,Sí,Sí,https://www.mercadolibre.com.mx/mini-drone-axnen-l900-pro-se-con-camara-4k-negro-5ghz-2-baterias/p/MLM27292245?pdp_filters=category:MLM149102#searchVariation=MLM27292245&position=1&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,,,Negro,Aéreo,Sí,,,,,Sí,,Sí,,"1 cable de carga USB, 4 hélices de repuesto, 1 manual, 12 tornillos, 1 destornillador",,,,,600 m,,,,,,,,,,,,,,
